split,season,episode,dialog_id,dialog_idx,turn_id,turn_idx,speaker,gender,emotion,utterance
train,3,11,4,4,5,5,Ross,M,neutral,Hi.
train,3,11,4,4,6,6,Rachel,F,neutral,Hi.
train,3,11,4,4,7,7,Ross,M,neutral,How'd did it go?
train,3,11,4,4,8,8,Rachel,F,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."
train,3,11,4,4,9,9,Ross,M,joy,I'm so proud of you.
train,3,11,4,4,10,10,Rachel,F,joy,Me too!
train,3,11,4,4,11,11,Ross,M,sadness,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so..."
train,3,11,4,4,12,12,Rachel,F,neutral,I know.
train,3,11,4,4,13,13,Ross,M,neutral,Yeah.
train,3,11,4,4,14,14,Rachel,F,neutral,Yeah.
train,3,15,5,5,0,0,Phoebe,F,neutral,Ameri-can.
train,3,15,5,5,1,1,Joey,M,neutral,Ameri-ccan.
train,3,15,5,5,2,2,Phoebe,F,neutral,Ameri-can. Y'know it's a
train,3,15,5,5,3,3,Sergei,M,surprise,Everybody!!
train,8,22,6,6,0,0,Chandler,M,joy,Good job Joe! Well done! Top notch!
train,8,22,6,6,1,1,Joey,M,surprise,You liked it? You really liked it?
train,8,22,6,6,2,2,Chandler,M,joy,"Oh-ho-ho, yeah!"
train,8,22,6,6,3,3,Joey,M,neutral,Which part exactly?
train,8,22,6,6,4,4,Chandler,M,neutral,The whole thing! Can we go?
train,8,22,6,6,5,5,Joey,M,anger,"Oh no-no-no, give me some specifics."
train,8,22,6,6,6,6,Chandler,M,joy,"I love the specifics, the specifics were the best part!"
train,8,22,6,6,7,7,Joey,M,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?"
train,8,22,6,6,8,8,Chandler,M,surprise,I was surprised to see a kangaroo in a World War I epic.
train,8,22,6,6,9,9,Joey,M,anger,You fell asleep!!
train,8,22,6,6,10,10,Joey,M,anger,There was no kangaroo!
train,8,22,6,6,11,11,Joey,M,anger,They didn't take any of my suggestions!
train,8,22,6,6,12,12,Joey,M,neutral,That's for coming buddy.
train,8,22,6,6,13,13,Joey,M,neutral,I'll see you later.
train,8,22,6,6,14,14,Chandler,M,sadness,Don't go!
train,8,22,6,6,15,15,Chandler,M,sadness,I'm sorry.
train,8,22,6,6,16,16,Chandler,M,sadness,I'm so sorry!
train,8,22,6,6,17,17,Chandler,M,surprise,Look!
train,8,22,6,6,18,18,Chandler,M,anger,This guy fell asleep!
train,8,22,6,6,19,19,Chandler,M,anger,He fell asleep too!
train,8,22,6,6,20,20,Chandler,M,anger,Be mad at him!
train,8,22,6,6,21,21,Chandler,M,anger,"Or, call an ambulance."
train,6,9,7,7,0,0,Joey,M,neutral,"Okay, look, I think we have to tell Rachel she messed up her dessert."
train,6,9,7,7,1,1,Ross,M,anger,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!"
train,6,23,8,8,0,0,Phoebe,F,neutral,"Yes, and it is my dying wish to have that ring."
train,6,23,8,8,1,1,Phoebe,F,neutral,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity"
train,6,23,8,8,2,2,Chandler,M,neutral,"Okay, that's enough honey!"
train,6,23,8,8,3,3,Customer,U,neutral,I don't know.  Let me see the ring.
train,6,23,8,8,4,4,Chandler,M,joy,"Great! Okay, here."
train,6,23,8,8,5,5,Customer,U,neutral,All right.
train,6,23,8,8,6,6,Chandler,M,joy,Thank you. Thank you. Thank you!  And
train,2,5,9,9,0,0,Chandler,M,neutral,What've you been up to?
train,2,5,9,9,1,1,Jade,F,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much."
train,2,5,9,9,2,2,Jade,F,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster."
train,2,5,9,9,3,3,Chandler,M,joy,Can you hold on a moment? I have another call.  I love her.
train,2,5,9,9,4,4,Ross,M,neutral,I know.
train,2,5,9,9,5,5,Chandler,M,neutral,I'm back.
train,2,5,9,9,6,6,Jade,F,neutral,"So, are we gonna get together or what?"
train,2,5,9,9,7,7,Chandler,M,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"
train,2,5,9,9,8,8,Jade,F,neutral,"Great, I'll see you then."
train,2,5,9,9,9,9,Chandler,M,joy,Ok.  Ok. Having a phone has finally paid off.
train,2,5,9,9,10,10,Ross,M,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""
train,2,5,9,9,11,11,Chandler,M,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."
train,2,5,9,9,12,12,Ross,M,disgust,Oh my god. You are pure evil.
train,2,5,9,9,13,13,Chandler,M,anger,"Ok, pure evil , horny and alone . I've done this"
train,5,10,10,10,0,0,Phoebe,F,anger,Nobody!
train,5,10,10,10,1,1,Phoebe,F,anger,Nobody respects the bucket!
train,5,10,10,10,2,2,Phoebe,F,anger,You wouldn't believe what people put in here!
train,5,10,10,10,3,3,Phoebe,F,anger,Look!
train,5,10,10,10,4,4,Phoebe,F,anger,"Okay, does this look like a garbage can to you?"
train,5,10,10,10,5,5,Monica,F,neutral,No.
train,4,23,11,11,0,0,Ross,M,neutral,This is my wedding.
train,4,23,11,11,1,1,Monica,F,anger,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!"
train,4,23,11,11,2,2,Ross,M,neutral,Fine. You'll-you'll watch it on video when we get back.
train,4,23,11,11,3,3,Chandler,M,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.
train,4,23,11,11,4,4,Phoebe,F,neutral,Thank you.
train,4,23,11,11,5,5,Phoebe,F,neutral,Thank you.
train,4,23,11,11,6,6,Ross,M,joy,"All right, let's go! Bye, Pheebs!"
train,4,23,11,11,7,7,Joey,M,joy,"Bye, Pheebs!"
train,4,23,11,11,8,8,Joey,M,joy,London baby!!
train,4,23,11,11,9,9,Phoebe,F,joy,"Oh, do you need a hug? You don't have to bring me anything!"
train,6,4,12,12,0,0,Chandler,M,neutral,Hey!
train,6,4,12,12,1,1,Joey,M,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.
train,6,4,12,12,2,2,Chandler,M,disgust,"That's great, but shouldn't you be on the toilet right now?"
train,6,4,12,12,3,3,Joey,M,surprise,What?!
train,6,4,12,12,4,4,Chandler,M,disgust,What's wrong with you?
train,6,4,12,12,5,5,Joey,M,neutral,Nothing!
train,6,4,12,12,6,6,Joey,M,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since."
train,6,4,12,12,7,7,Joey,M,neutral,"But um, I don't think it's anything serious."
train,6,4,12,12,8,8,Chandler,M,surprise,This sounds like a hernia. You have to you-you go to the doctor!
train,6,4,12,12,9,9,Joey,M,fear,"No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!"
train,6,4,12,12,10,10,Chandler,M,disgust,That's a hernia.
train,6,4,12,12,11,11,Joey,M,anger,Why did I have to start working out again?  Damn you 15s!
train,8,8,13,13,0,0,Mona,F,joy,I love your place! Where is this guy from?
train,8,8,13,13,1,1,Ross,M,neutral,Uh that's an eighteenth century Indian artifact from Calcutta.
train,8,8,13,13,2,2,Mona,F,surprise,"Oh wow! So, you're more than just dinosaurs."
train,8,8,13,13,3,3,Ross,M,neutral,So much more.
train,8,11,14,14,0,0,Ross,M,neutral,"Well, well to sum up, we're having fun, you look young."
train,8,11,14,14,1,1,Mona,F,neutral,Okay
train,8,11,14,14,2,2,Ross,M,neutral,But that's not enough. So  So here's a key to my apartment.
train,8,11,14,14,3,3,Mona,F,surprise,Really?!
train,8,11,14,14,4,4,Ross,M,neutral,Really.
train,8,11,14,14,5,5,Mona,F,neutral,You don't think this is too fast.
train,9,23,15,15,0,0,Ross,M,anger,Get Out!
train,9,23,15,15,1,1,Charlie,F,neutral,"Ross, can I talk to you for a minute?"
train,9,23,15,15,2,2,Ross,M,neutral,"Yes, please!  So, what's going on?"
train,9,23,15,15,3,3,Charlie,F,sadness,"Uh, well... Joey and I broke up."
train,9,23,15,15,4,4,Ross,M,surprise,"Oh my God, wh-what happened?"
train,9,23,15,15,5,5,Charlie,F,sadness,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!"
train,9,23,15,15,6,6,Ross,M,anger,I knew that was him!
train,9,23,15,15,7,7,Charlie,F,sadness,"Anyway I just, uh, I think it's for the best."
train,9,23,15,15,8,8,Ross,M,neutral,"Hey, you ok?"
train,9,23,15,15,9,9,Charlie,F,sadness,I guess.
train,9,23,15,15,10,10,Charlie,F,neutral,There was hum...  there was another reason that I thought it was time to end it with Joey.
train,9,23,15,15,11,11,Charlie,F,neutral,I started to realize that I was having feelings for someone  else.
train,9,23,15,15,12,12,Paleontologist,U,neutral,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker."
train,9,23,15,15,13,13,Ross,M,neutral,"Oh, professor Clerk we're kind of in the middle of a conversation, here."
train,9,23,15,15,14,14,Charlie,F,neutral,"Yeah, can you guys just throw him in the pool later?"
train,9,23,15,15,15,15,Professore Clerk,U,joy,Or we could throw you both in
train,9,23,15,15,16,16,Ross,M,anger,"Ok, gentlemen!"
train,9,23,15,15,17,17,Ross,M,anger,Please!
train,9,23,15,15,18,18,Ross,M,anger,Aren't we a little old for this?
train,9,23,15,15,19,19,Ross,M,neutral,"I mean, we're scientists, right?"
train,9,23,15,15,20,20,Ross,M,anger,We're academics.
train,9,23,15,15,21,21,Ross,M,joy,And most importantly I... you-you will have to catch us first.
train,9,23,15,15,22,22,Ross,M,joy,"GO, GO, GO!"
train,3,25,16,16,0,0,Ross,M,joy,"Go, go, go!"
train,3,25,16,16,1,1,Rachel,F,joy,"Oh yeah, now everybody wants to be under this hat!"
train,3,25,16,16,2,2,Phoebe,F,disgust,Oy!!
train,3,25,16,16,3,3,Monica,F,surprise,What's with all this sand?
train,3,25,16,16,4,4,Phoebe,F,neutral,"Oh, yeah, Bob said there might be flood damage."
train,3,25,16,16,5,5,Ross,M,neutral,"Yeah, either that, or he has a really big cat."
train,5,19,17,17,0,0,Joey,M,anger,"Okay, see that blind guy right there? I'm gonna bash his head in later."
train,5,19,17,17,1,1,Joey,M,joy,"Oh umm, my big scene is coming up. Big scene coming up."
train,5,19,17,17,2,2,Chandler,M,neutral,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?"
train,5,19,17,17,3,3,Monica,F,neutral,Rach? What are you doing?
train,5,19,17,17,4,4,Rachel,F,fear,"Oh boy, I just can't watch. It's too scary!"
train,5,19,17,17,5,5,Monica,F,neutral,It's a diaper commercial.
train,5,19,17,17,6,6,Rachel,F,fear,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!"
train,5,19,17,17,7,7,Caitlin,F,joy,Pizza delivery!
train,5,19,17,17,8,8,Ross,M,joy,I'll get it! I will get that!
train,5,19,17,17,9,9,Caitlin,F,joy,Hi!
train,5,19,17,17,10,10,Ross,M,joy,Hi!
train,5,21,18,18,0,0,Ross,M,neutral,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?"
train,5,21,18,18,1,1,Joey,M,neutral,"Uhh, the ball thing."
train,5,21,18,18,2,2,Ross,M,neutral,Yeah?
train,5,21,18,18,3,3,Joey,M,joy,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!"
train,5,21,18,18,4,4,Ross,M,neutral,"Uhh,"
train,5,21,18,18,5,5,Joey,M,joy,Okay!
train,5,21,18,18,6,6,Joey,M,fear,Uh-oh.
train,5,21,18,18,7,7,Ross,M,neutral,What?
train,5,21,18,18,8,8,Joey,M,sadness,I have to pee. And Rachel's in the bathroom!
train,5,21,18,18,9,9,Joey,M,surprise,"Man, I didn't think we were gonna make it!"
train,5,21,18,18,10,10,Ross,M,fear,"I know!  Don't switch hands, okay?"
train,1,1,19,19,0,0,Joey,M,neutral,Hey.
train,1,1,19,19,1,1,Phoebe,F,neutral,Hey!
train,7,7,20,20,0,0,Rachel,F,neutral,How did it go with Erin?
train,7,7,20,20,1,1,Joey,M,joy,"Oh, unbelievable! We had the best time!"
train,7,7,20,20,2,2,Phoebe,F,joy,"Yay!! Oh so, you're not, you're not mad at us anymore?"
train,7,7,20,20,3,3,Joey,M,joy,No!
train,7,7,20,20,4,4,Joey,M,joy,No!
train,7,7,20,20,5,5,Joey,M,joy,No!
train,7,7,20,20,6,6,Joey,M,joy,You guys were totally right!
train,7,7,20,20,7,7,Joey,M,joy,This is so much better than the first time we went out.
train,7,7,20,20,8,8,Joey,M,neutral,Y'know?
train,7,7,20,20,9,9,Joey,M,neutral,"That was so awkward, we were really nervous."
train,7,7,20,20,10,10,Phoebe,F,neutral,Didn't you sleep together?
train,7,7,20,20,11,11,Joey,M,neutral,"Yeah, that really calms me down."
train,7,7,20,20,12,12,Joey,M,joy,And!
train,7,7,20,20,13,13,Joey,M,joy,We have so much in common!
train,7,7,20,20,14,14,Joey,M,joy,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a"
train,7,7,20,20,15,15,Rachel,F,surprise,"Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do."
train,7,7,20,20,16,16,Joey,M,neutral,Okay.
train,1,4,21,21,0,0,Monica,F,surprise,How does she do that?
train,1,4,21,21,1,1,Ross,M,neutral,I cannot sleep in a public place.
train,1,4,21,21,2,2,Monica,F,joy,Would you look at her? She is so peaceful.
train,1,4,21,21,3,3,Phoebe,F,surprise,Oh! What what what! ...Hi.
train,1,4,21,21,4,4,Ross,M,neutral,"It's okay, y'know, you just nodded off again."
train,1,4,21,21,5,5,Monica,F,surprise,What's going on with you?
train,1,4,21,21,6,6,Phoebe,F,anger,I got no sleep last night!
train,1,4,21,21,7,7,Ross,M,neutral,Why?
train,1,4,21,21,8,8,Phoebe,F,disgust,"My grandmother has this new boyfriend, and they're both kind of insecure in bed."
train,1,4,21,21,9,9,Phoebe,F,neutral,"Oh, and deaf."
train,1,4,21,21,10,10,Phoebe,F,neutral,"So they're constantly, like, having to reassure each other that they're having a good time."
train,1,4,21,21,11,11,Phoebe,F,disgust,You have no idea how loud they are!
train,1,4,21,21,12,12,Monica,F,neutral,"Well, if you want, you can stay with Rachel and me tonight."
train,1,4,21,21,13,13,Phoebe,F,joy,Thanks.
train,1,23,22,22,0,0,Joey,M,disgust,Ew! What is that? Something exploded!
train,1,23,22,22,1,1,Nurse,F,neutral,"It's just her water breaking. Calm down, will you?"
train,1,23,22,22,2,2,Joey,M,surprise,"Water breaking, what do you mean? What's that, water breaking?"
train,1,23,22,22,3,3,Nurse,F,neutral,"Breathe, breathe, breathe."
train,3,11,23,23,0,0,Monica,F,surprise,"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead."
train,3,11,23,23,1,1,Chandler,M,anger,Okay! You don't think I thought of that?
train,3,11,23,23,2,2,Phoebe,F,surprise,How can you not know which one?
train,3,11,23,23,3,3,Rachel,F,joy,I mean that's unbelievable.
train,3,11,23,23,4,4,Monica,F,neutral,"I mean, was it Gina?"
train,3,11,23,23,5,5,Ross,M,neutral,Which one is Gina?
train,3,11,23,23,6,6,Rachel,F,neutral,"Dark, big hair, with the airplane earrings."
train,3,11,23,23,7,7,Monica,F,neutral,"No, no, no, that's Dina."
train,3,11,23,23,8,8,Chandler,M,surprise,"You see you can't tell which one is which either, dwha!!"
train,3,14,24,24,0,0,Rachel,F,neutral,"I don't know, you thought See you Saturday' was funny."
train,3,14,24,24,1,1,Rachel,F,neutral,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with."
train,3,14,24,24,2,2,Rachel,F,neutral,You guys would never want to go to a lecture with me.
train,3,14,24,24,3,3,Ross,M,joy,Pa-haa!! I would love to go with you.
train,3,14,24,24,4,4,Rachel,F,surprise,Really!?
train,3,14,24,24,5,5,Ross,M,neutral,"Yeah, hey I-I have clothes, I even pick them out."
train,3,14,24,24,6,6,Ross,M,neutral,"I mean for, for all you know I could be a fashion..... monger."
train,3,14,24,24,7,7,Rachel,F,joy,"Okay. Honey, I would love for you to go with me.  What?"
train,3,14,24,24,8,8,Ross,M,fear,"What should I wear, now I'm all nervous."
train,4,4,25,25,0,0,Mr. Treeger,M,joy,": I know, we did it!! Hey, that was incredible, huh?!"
train,4,4,25,25,1,1,Joey,M,joy,"I know, it was amazing! I mean, we totally nailed it, it was beautiful."
train,4,4,25,25,2,2,Mr. Treeger,M,joy,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball."
train,4,4,25,25,3,3,Joey,M,joy,"Oh well, okay, good luck."
train,4,4,25,25,4,4,Mr. Treeger,M,neutral,: Yeah.
train,4,4,25,25,5,5,Joey,M,neutral,Unless you wanna practice the Foxtrot again? Or-or the Tango?
train,4,4,25,25,6,6,Mr. Treeger,M,neutral,": Ahh, thanks but no. You see I-I think I'm ready to dance with girls."
train,4,4,25,25,7,7,Joey,M,neutral,Okay.
train,4,4,25,25,8,8,Mr. Treeger,M,neutral,: Yeah.
train,4,4,25,25,9,9,Joey,M,neutral,Go get em Treeger.
train,4,4,25,25,10,10,Mr. Treeger,M,neutral,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend."
train,4,4,25,25,11,11,Joey,M,surprise,Really?
train,4,4,25,25,12,12,Mr. Treeger,M,neutral,": Yeah, you could dance real good with her, she's the same size as me."
train,4,4,25,25,13,13,Joey,M,neutral,"No, I'm good."
train,5,18,26,26,0,0,Ross,M,surprise,"Oh God, this is so nerve wracking! How-how do you do this?"
train,5,18,26,26,1,1,Joey,M,neutral,"Well, unfortunately, I don't get many callbacks so"
train,5,18,26,26,2,2,Carol,F,surprise,Is it a good sign that they asked us to hang around after the audition?
train,5,18,26,26,3,3,Joey,M,neutral,Who knows?
train,5,18,26,26,4,4,The Casting Director,F,neutral,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much."
train,5,18,26,26,5,5,Ross,M,joy,Yes!! I knew it!!  Bye-bye! So long! Later!
train,5,18,26,26,6,6,Joey,M,joy,Oh this is great! I might actually get to play Ben's dad!
train,5,18,26,26,7,7,Ross,M,joy,Yeah!
train,5,18,26,26,8,8,The Casting Director,F,neutral,"Actually, that can't happen."
train,5,18,26,26,9,9,The Casting Director,F,neutral,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben."
train,5,18,26,26,10,10,The Casting Director,F,neutral,So it'll be either you two  or you two.
train,5,18,26,26,11,11,Joey,M,sadness,"Man, this is gonna be kinda weird."
train,5,18,26,26,12,12,Ross,M,neutral,"Yeah, it is."
train,5,18,26,26,13,13,Ross,M,neutral,"No, we-we're gonna be like best friends, that's why it's gonna be weird."
train,5,24,27,27,0,0,Monica,F,sadness,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue."
train,5,24,27,27,1,1,Chandler,M,joy,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new."
train,4,15,28,28,0,0,Ross,M,anger,Please!
train,4,15,28,28,1,1,Ross,M,anger,Are you kidding?
train,4,15,28,28,2,2,Ross,M,anger,"I-I hurt three huge men, I gave a guy a bloody nose I mean I-I'm not proud of it but, I really am."
train,4,15,28,28,3,3,Ross,M,joy,"And it's all because of you, wonderful, amazing you."
train,4,15,28,28,4,4,Emily,F,fear,I think you've got concussion.
train,4,15,28,28,5,5,Ross,M,joy,"No, no, I'm serious. Thank you."
train,4,15,28,28,6,6,Emily,F,fear,You're welcome.  I'm sorry. Did I hurt you?
train,4,15,28,28,7,7,Ross,M,sadness,"It's worth the pain.  Y'know what, you know what? It's not."
train,9,23,29,29,0,0,Monica,F,surprise,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.
train,9,23,29,29,1,1,Chandler,M,joy,"I do! Want a hint? huh? ""I do""  ""I do""."
train,9,23,29,29,2,2,Monica,F,neutral,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee."
train,9,23,29,29,3,3,Chandler,M,joy,David is going to propose to Phoebe.
train,9,23,29,29,4,4,Monica,F,surprise,What?  Why?
train,9,23,29,29,6,5,Monica,F,anger,"Chandler, we have talked about this."
train,9,23,29,29,7,6,Monica,F,anger,You are not supposed to give people advice!
train,9,23,29,29,8,7,Monica,F,anger,Now couldn't you just have made some sort of inappropriate joke?
train,9,23,29,29,9,8,Chandler,M,neutral,I
train,9,23,29,29,10,9,Monica,F,anger,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!
train,9,23,29,29,11,10,Monica,F,anger,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone"
train,9,23,29,29,12,11,Chandler,M,surprise,"Man, that's some"
train,9,23,29,29,13,12,Ross,M,neutral,"Oh, that's not what you want..."
train,6,21,30,30,0,0,Elizabeth,F,neutral,"This is my father, Paul Stevens. Dad, this is Ross Geller."
train,6,21,30,30,1,1,Ross,M,joy,It-it's great to meet you Paul.
train,6,21,30,30,2,2,Paul,M,neutral,I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.
train,6,21,30,30,3,3,Ross,M,neutral,"Of course, of course, Mr. Stevens."
train,6,21,30,30,4,4,Paul,M,anger,"So Ross, what your problem?"
train,6,21,30,30,5,5,Ross,M,surprise,Eh-wh Excuse me?
train,6,21,30,30,6,6,Paul,M,anger,Why can't you get a girlfriend your own age?
train,6,21,30,30,7,7,Ross,M,fear,That's funny. Umm .  It's not funny.
train,6,21,30,30,8,8,Paul,M,neutral,I
train,6,21,30,30,9,9,Ross,M,neutral,Okay.
train,6,21,30,30,10,10,Ross,M,neutral,"I can, I can see that."
train,6,21,30,30,11,11,Ross,M,fear,"Umm, but I think if you give me umm, one chance I can, I can change your mind."
train,6,21,30,30,12,12,Paul,M,neutral,Okay.
train,6,21,30,30,13,13,Ross,M,neutral,What?
train,6,21,30,30,14,14,Paul,M,anger,Okay. I'll give you one chance to change my mind.  You got one minute.
train,6,21,30,30,15,15,Elizabeth,F,surprise,Daddy!
train,6,22,31,31,0,0,Joey,M,neutral,"Oh well, it's not on TV yet."
train,6,22,31,31,1,1,The Dry Cleaner,M,neutral,"Well, then it's not on the wall yet."
train,6,22,31,31,2,2,Joey,M,neutral,"Okay, fine, I will bring you a tape, huh?"
train,6,22,31,31,3,3,Phoebe,F,neutral,"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?"
train,1,12,32,32,0,0,Joey and Chandler,U,surprise,Ooooohh!
train,1,12,32,32,1,1,Phoebe,F,neutral,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore."
train,1,12,32,32,2,2,Monica,F,surprise,Was it...?
train,1,12,32,32,3,3,Phoebe,F,neutral,"Oh, boy scouts could have camped under there."
train,1,12,32,32,4,4,Rachel,F,surprise,"""Ooo,"" what?"
train,1,12,32,32,5,5,Phoebe,F,neutral,Uma Thurman.
train,1,12,32,32,6,6,Monica,F,surprise,Oh!
train,1,12,32,32,7,7,Ross,M,surprise,The actress!
train,1,12,32,32,8,8,Ross,M,neutral,Thanks Rach.
train,1,12,32,32,9,9,Chandler,M,surprise,So what are you gonna do?
train,1,12,32,32,10,10,Ross,M,joy,You have to tell her!
train,1,12,32,32,11,11,Ross,M,joy,You have to tell her!
train,1,12,32,32,12,12,Ross,M,anger,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!"
train,1,12,32,32,13,13,Ross,M,anger,Guys?
train,1,12,32,32,14,14,Ross,M,anger,Guys?
train,1,12,32,32,15,15,Chandler,M,neutral,"Oh, yeah, you have to tell her."
train,1,12,32,32,16,16,Joey,M,neutral,Feminist issue. That's where I went!
train,1,12,32,32,17,17,Phoebe,F,fear,She is gonna hate me.
train,1,12,32,32,18,18,Ross,M,neutral,"Yeah, well..."
