split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,emotion_code,emotion,erc_target,utterance,dialog_type,gender
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M007,15,M,fru,frustration,True,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F008,16,F,fru,frustration,True,I'm here to get an ID.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M008,17,M,fru,frustration,True,"No.  I need another ID, a separate one.",impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F009,18,F,fru,frustration,True,Like what?  Like a birth certificate?,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M009,19,M,fru,frustration,True,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F010,20,F,xxx,unknown,False,Who the hell has a birth certificate?,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F011,21,F,fru,frustration,True,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M010,22,M,fru,frustration,True,"Yeah.  We keep it on file, but we need an ID to access that file.",impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F012,23,F,ang,anger,True,That's out of control.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M011,24,M,ang,anger,True,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F013,25,F,fru,frustration,True,How long have you been working here?,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M012,26,M,xxx,unknown,False,Actually too long.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F014,27,F,neu,neutral,True,"Clearly.  You know, do you have like a supervisor or something?",impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M013,28,M,ang,anger,True,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F015,29,F,fru,frustration,True,That would - I would appreciate that.  Yeah.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F000,0,F,sad,sadness,True,Did you get the mail? So you saw my letter?,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M000,1,M,xxx,unknown,False,It's not fair.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F001,2,F,sad,sadness,True,Yeah.  I know.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M001,3,M,sad,sadness,True,"I don't understand.  You've already done so much, I don't know why do you have to go back.",impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F002,4,F,sad,sadness,True,I don't know.  I put in that. request too. They didn't...,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F003,5,F,neu,neutral,True,"I guess, you know, everybody has to make sacrifices.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M002,6,M,xxx,unknown,False,"I don't know, it's just not fair.  I think you've already made your sacrifice.",impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F004,7,F,sad,sadness,True,"There's people that have given more though, you know?",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M003,8,M,fru,frustration,True,I just don't see how they can make you leave when you have a new baby - we have a new kid.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F005,9,F,sad,sadness,True,I know.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M004,10,M,xxx,unknown,False,Then why is that fair?  Why--,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F006,11,F,neu,neutral,True,"There's babies over there, though, that need mothers.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M005,12,M,sad,sadness,True,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F007,13,F,xxx,unknown,False,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M006,14,M,xxx,unknown,False,I'm just trying to think of another way.  I'm just trying to...,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F008,15,F,sad,sadness,True,"Just, you know, kicking myself.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F009,16,F,xxx,unknown,False,like you sign up because you need money and,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F010,17,F,sad,sadness,True,things just aren't what they seem.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M007,18,M,xxx,unknown,False,This is a stupid war.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F011,19,F,xxx,unknown,False,"We're doing the right thing, though.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M008,20,M,fru,frustration,True,I know.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M009,21,M,sad,sadness,True,I just don't see why it has to be you.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F012,22,F,sad,sadness,True,"If not me then, who?",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M010,23,M,sad,sadness,True,What am I going to do? Huh?,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F013,24,F,sad,sadness,True,"You'll videotape everything, yeah?",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M011,25,M,sad,sadness,True,Yeah.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F014,26,F,sad,sadness,True,"Maybe you can send it to me, like stream it, yeah?",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M012,27,M,neu,neutral,True,Don't you guys have access to computers over there.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F015,28,F,sad,sadness,True,Last month--  Yeah.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M013,29,M,sad,sadness,True,I just don't know how I'm going to do it without you.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F016,30,F,neu,neutral,True,I have to find sitters.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M014,31,M,sad,sadness,True,I can't raise a baby by myself.  How?,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F017,32,F,sad,sadness,True,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M015,33,M,neu,neutral,True,I know.,impro,M
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F018,34,F,neu,neutral,True,And your mother is close by.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F019,35,F,sad,sadness,True,I'll send you lots of letters.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_F020,36,F,sad,sadness,True,And I want lots and lots and lots of pictures.,impro,F
train,Session1,Ses01F_impro02,1,Ses01F_impro02_M016,37,M,fru,frustration,True,It's just not fair.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M000,0,M,neu,neutral,True,So what's up?  What's new?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F000,1,F,hap,happiness,True,Well Vegas was awesome.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M001,2,M,neu,neutral,True,Yeah.  I heard.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F001,3,F,hap,happiness,True,"And, um, I got married.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M002,4,M,sur,surprise,False,Shut up.  No- in Vegas?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F002,5,F,hap,happiness,True,Yeah.  In the old town part.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M003,6,M,exc,excitement,True,Who did you marry?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F003,7,F,xxx,unknown,False,Chuck. [LAUGHTER],impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M004,8,M,xxx,unknown,False,Did you propose to you?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F004,9,F,hap,happiness,True,Um- Yes.  It was very romantic.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F005,10,F,hap,happiness,True,It was at the slot machines.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M005,11,M,xxx,unknown,False,Oh.  The Wheel of Fortune slots?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F006,12,F,hap,happiness,True,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M006,13,M,neu,neutral,True,He turned to you and was like...,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F007,14,F,xxx,unknown,False,Hey.  Let's get married and I said okay.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M007,15,M,hap,happiness,True,[LAUGHTER] That's really romantic.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F008,16,F,hap,happiness,True,"Yeah.  Well.  You know, because he's leaving the next day.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M008,17,M,neu,neutral,True,Yeah.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F009,18,F,hap,happiness,True,But we're going to have a honeymoon cruise.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M009,19,M,neu,neutral,True,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F010,20,F,hap,happiness,True,Oh.  I hadn't even thought about that.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M010,21,M,xxx,unknown,False,Yeah.  Think about that.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F011,22,F,xxx,unknown,False,"He's not going to be a citizen, though.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M011,23,M,neu,neutral,True,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F012,24,F,hap,happiness,True,Oh.  Totally.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M012,25,M,xxx,unknown,False,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F013,26,F,hap,happiness,True,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M013,27,M,hap,happiness,True,Like you need another one of those.[LAUGHTER],impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F014,28,F,xxx,unknown,False,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M014,29,M,hap,happiness,True,Is that your phone?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F015,30,F,exc,excitement,True,"Yeah, so [LAUGHTER] He's calling me now",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M015,31,M,hap,happiness,True,He loves you.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F016,32,F,hap,happiness,True,"He likes to keep tabs, you know.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M016,33,M,neu,neutral,True,How much did he win at the slot?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F017,34,F,neu,neutral,True,"Uh, I think seven hundred and fifty dollars.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M017,35,M,sur,surprise,False,Really? Penny slots?,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F018,36,F,neu,neutral,True,Penny slots. That's what he plays.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M018,37,M,sur,surprise,False,Wow.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F019,38,F,neu,neutral,True,Yeah.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M019,39,M,neu,neutral,True,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F020,40,F,xxx,unknown,False,Oh.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F021,41,F,hap,happiness,True,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M020,42,M,neu,neutral,True,"But the pennies always get you because you end up spending like, you know, fifty bucks.",impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F022,43,F,neu,neutral,True,Fifty bucks. Mmhmm.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M021,44,M,neu,neutral,True,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F023,45,F,neu,neutral,True,Yeah.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F024,46,F,hap,happiness,True,Well so now we're married. We have cat children.,impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M022,47,M,exc,excitement,True,Awesome.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M023,48,M,hap,happiness,True,[LAUGHTER] Cat babies.,impro,M
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F025,49,F,hap,happiness,True,"We renamed Brenda, Lumber Janet.",impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_F026,50,F,hap,happiness,True,She needs a new name each state that we go into. [LAUGHTER],impro,F
train,Session1,Ses01F_impro03,2,Ses01F_impro03_M024,51,M,neu,neutral,True,That's fair enough.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M000,0,M,neu,neutral,True,"Have you tried, uh, Craig's List?",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F000,1,F,neu,neutral,True,"Uh, what?  Craig's List?  Oh the internet thing?",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M001,2,M,neu,neutral,True,Yeah.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F001,3,F,neu,neutral,True,I don't know.  Isn't that-- that's all like escort services and things like that.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M002,4,M,neu,neutral,True,No.  There's regular jobs on there.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F002,5,F,fru,frustration,True,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M003,6,M,neu,neutral,True,Uh huh.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M004,7,M,neu,neutral,True,I'm just saying I have a friend that got a good job on it so I was just recommending it.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F003,8,F,xxx,unknown,False,What kind of a job?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M005,9,M,neu,neutral,True,He's like a manager for a theatre.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F004,10,F,xxx,unknown,False,Really?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M006,11,M,neu,neutral,True,He's like a house manager. Yeah.  It's a good job.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F005,12,F,neu,neutral,True,He just...,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F006,13,F,neu,neutral,True,you know what?  I heard about that job.  I applied for that.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M007,14,M,neu,neutral,True,You did?,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F007,15,F,fru,frustration,True,Yeah.  I saw a posting at the theatre.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F008,16,F,xxx,unknown,False,He got it?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M008,17,M,neu,neutral,True,Yeah.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M009,18,M,neu,neutral,True,You've been looking for a job for a long time; that was a long time ago.  Right?,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F009,19,F,neu,neutral,True,Yeah.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M010,20,M,neu,neutral,True,Hmm.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F010,21,F,xxx,unknown,False,What did he do?  What was so great?  I don't understand why they would pick him over me.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M011,22,M,neu,neutral,True,I don't know.  He had a really good resume I guess and--,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F011,23,F,xxx,unknown,False,A resume?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M012,24,M,neu,neutral,True,Yeah.  Do you have a resume?,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F012,25,F,xxx,unknown,False,No.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M013,26,M,neu,neutral,True,It's kind of helpful when getting a job.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F013,27,F,neu,neutral,True,I just- I mean I call people up and I tell them what I'm good at.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M014,28,M,neu,neutral,True,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F014,29,F,neu,neutral,True,Yeah.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F015,30,F,xxx,unknown,False,I don't like- I don't like sending things in the mail.  I don't want my information out there.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M015,31,M,neu,neutral,True,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F016,32,F,fru,frustration,True,I'm there in front of them.  I'm telling them what I'm good at.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M016,33,M,neu,neutral,True,"Yeah.  But the piece of paper helps, too.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F017,34,F,fru,frustration,True,Why?  It's a piece of paper.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M017,35,M,neu,neutral,True,"No.  But it has an outline, you know.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F018,36,F,fru,frustration,True,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M018,37,M,neu,neutral,True,"I know.  Okay.  Well, um. Maybe--",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F019,38,F,fru,frustration,True,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M019,39,M,neu,neutral,True,Yeah.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M020,40,M,neu,neutral,True,"Okay, yeah.  I would imagine.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F020,41,F,xxx,unknown,False,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M021,42,M,neu,neutral,True,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F021,43,F,fru,frustration,True,"That's baloney, that's baloney.",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F022,44,F,fru,frustration,True,Please.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M022,45,M,neu,neutral,True,maybe get a car.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M023,46,M,neu,neutral,True,"I just, you know, think you should try a little harder maybe.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F023,47,F,fru,frustration,True,you think that you're better than me because I don't have a car?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M024,48,M,neu,neutral,True,I didn't say that.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F024,49,F,fru,frustration,True,"You know, you're riding the bus, too.",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M025,50,M,neu,neutral,True,"I am riding the bus, but by choice.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F025,51,F,fru,frustration,True,Why?  What choice?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M026,52,M,neu,neutral,True,"To save the environment, carpool.",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F026,53,F,fru,frustration,True,You're saving the environment. mmhmm,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M027,54,M,neu,neutral,True,Yes.  One less car at a time.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F027,55,F,fru,frustration,True,Interesting.  That's fantastic.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M028,56,M,neu,neutral,True,Mmhmm.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M029,57,M,fru,frustration,True,"You know, you don't have to take out your frustration on me, you know, just because...",impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F028,58,F,ang,anger,True,I'm not frustrated.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M030,59,M,fru,frustration,True,...you can't get a job and refuse to have a resume.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F029,60,F,ang,anger,True,Who do you think you are?,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M031,61,M,neu,neutral,True,I don't think I'm anyone.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F030,62,F,ang,anger,True,You are so high and mighty.  I just--,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M032,63,M,neu,neutral,True,I- I-I didn't-- okay.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F031,64,F,ang,anger,True,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M033,65,M,xxx,unknown,False,What?  No.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M034,66,M,fru,frustration,True,What? Oh.  So now you're...,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F032,67,F,ang,anger,True,"The bus, I'm riding the bus because I want to.",impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M035,68,M,fru,frustration,True,you know what?  You don't have to take your anger and your hurt out on me.,impro,M
train,Session1,Ses01F_impro04,3,Ses01F_impro04_F033,69,F,ang,anger,True,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,impro,F
train,Session1,Ses01F_impro04,3,Ses01F_impro04_M036,70,M,xxx,unknown,False,Why not?,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M000,0,M,neu,neutral,True,Hi.  Thanks for waiting.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F000,1,F,fru,frustration,True,Hi.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M001,2,M,hap,happiness,True,Can I help you?,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F001,3,F,fru,frustration,True,Yeah. This is the fourth line that I have been in.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M002,4,M,hap,happiness,True,Uh huh.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F002,5,F,fru,frustration,True,I need my bag.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M003,6,M,neu,neutral,True,Okay.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F003,7,F,fru,frustration,True,"I flew in over three hours ago, I've been in four different lines.",impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M004,8,M,neu,neutral,True,Okay.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F004,9,F,fru,frustration,True,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M005,10,M,neu,neutral,True,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F005,11,F,fru,frustration,True,Nash.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M006,12,M,neu,neutral,True,Okay.,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F006,13,F,xxx,unknown,False,No G.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M007,14,M,neu,neutral,True,all right- okay.  And you lost your bag? Is that- that the issue?,impro,M
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F007,15,F,fru,frustration,True,Yes.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_F008,16,F,ang,anger,True,Flight seven fourteen.,impro,F
train,Session1,Ses01F_impro05,4,Ses01F_impro05_M008,17,M,neu,neutral,True,Uh-huh.,impro,M
